Browser,Event,Object Parameters,Chart,Status
Chrome,beforeinitialize,"('renderAt = ', u'chart-container')",pie,PASS
Chrome,beforeinitialize,"('type = ', u'pie')",pie,PASS
Chrome,beforeinitialize,"('width = ', u'800')",pie,PASS
Chrome,beforerender,"('eventType = ', u'beforerender')",pie,PASS
Chrome,beforerender,"('eventId = ', 103)",pie,PASS
Chrome,beforerender,"('cancelled = ', False)",pie,PASS
Chrome,beforerender,"('stopPropagation = ', {})",pie,PASS
Chrome,beforerender,"('defaultPrevented = ', False)",pie,PASS
Chrome,beforerender,"('preventDefault = ', {})",pie,PASS
Chrome,beforerender,"('detached = ', False)",pie,PASS
Chrome,beforerender,"('detachHandler = ', {})",pie,PASS
Chrome,beforerender,"('senderChartType = ', u'pie')",pie,PASS
Chrome,beforerender,"('Container = ', u'chart-container')",pie,PASS
Chrome,beforerender,"('height = ', u'600')",pie,PASS
Chrome,beforerender,"('rendered = ', u'javascript')",pie,PASS
Chrome,beforerender,"('width = ', u'800')",pie,PASS
Chrome,rendercomplete,"('eventType = ', u'rendercomplete')",pie,PASS
Chrome,rendercomplete,"('eventId = ', 295)",pie,PASS
Chrome,rendercomplete,"('cancelled = ', False)",pie,PASS
Chrome,rendercomplete,"('stopPropagation = ', {})",pie,PASS
Chrome,rendercomplete,"('defaultPrevented = ', False)",pie,PASS
Chrome,rendercomplete,"('preventDefault = ', {})",pie,PASS
Chrome,rendercomplete,"('detached = ', False)",pie,PASS
Chrome,rendercomplete,"('detachHandler = ', {})",pie,PASS
Chrome,rendercomplete,"('senderChartType = ', u'pie')",pie,PASS
Chrome,rendercomplete,"('Container = ', 1)",pie,PASS
Chrome,rendercomplete,"('height = ', 600)",pie,PASS
Chrome,rendercomplete,"('rendered = ', u'javascript')",pie,PASS
Chrome,rendercomplete,"('width = ', 800)",pie,PASS
Chrome,loaded,"('eventType = ', u'loaded')",pie,PASS
Chrome,loaded,"('eventId = ', 96)",pie,PASS
Chrome,loaded,"('cancelled = ', False)",pie,PASS
Chrome,loaded,"('stopPropagation = ', {})",pie,PASS
Chrome,loaded,"('defaultPrevented = ', False)",pie,PASS
Chrome,loaded,"('preventDefault = ', {})",pie,PASS
Chrome,loaded,"('detached = ', False)",pie,PASS
Chrome,loaded,"('detachHandler = ', {})",pie,PASS
Chrome,loaded,"('senderChartType = ', u'pie')",pie,PASS
Chrome,loaded,"('renderer = ', u'javascript')",pie,PASS
Chrome,loaded,"('type = ', u'pie')",pie,PASS
Chrome,initialized,"('eventType = ', u'initialized')",pie,PASS
Chrome,initialized,"('eventId = ', 100)",pie,PASS
Chrome,initialized,"('cancelled = ', False)",pie,PASS
Chrome,initialized,"('stopPropagation = ', {})",pie,PASS
Chrome,initialized,"('defaultPrevented = ', False)",pie,PASS
Chrome,initialized,"('preventDefault = ', {})",pie,PASS
Chrome,initialized,"('detached = ', False)",pie,PASS
Chrome,initialized,"('detachHandler = ', {})",pie,PASS
Chrome,initialized,"('senderChartType = ', u'pie')",pie,PASS
Chrome,initialized,"('dataFormat = ', u'json')",pie,PASS
Chrome,initialized,"('dataSource = ', {u'data': [{u'value': u'1250400', u'label': u'Teenage'}, {u'value': u'1463300', u'label': u'Adult'}, {u'value': u'1050700', u'label': u'Mid-age'}, {u'value': u'491000', u'label': u'Senior'}], u'chart': {u'showPercentValues': u'1', u'use3DLighting': u'0', u'exportEnabled': u'1', u'bgImage': u'https://upload.wikimedia.org/wikipedia/commons/7/79/Misc_fruit.jpg', u'caption': u'Split of Visitors by Age Group', u'theme': u'fusion', u'useDataPlotColorForLabels': u'1', u'decimals': u'1', u'subCaption': u'Last year', u'exportFileName': u'DemoExport'}})",pie,PASS
Chrome,initialized,"('height = ', u'600')",pie,PASS
Chrome,initialized,"('renderAt = ', u'chart-container')",pie,PASS
Chrome,initialized,"('type = ', u'pie')",pie,PASS
Chrome,initialized,"('width = ', u'800')",pie,PASS
Chrome,rendered,"('eventType = ', u'rendered')",bubble,PASS
Chrome,rendered,"('eventId = ', 368)",bubble,PASS
Chrome,rendered,"('cancelled = ', False)",bubble,PASS
Chrome,rendered,"('stopPropagation = ', {})",bubble,PASS
Chrome,rendered,"('defaultPrevented = ', False)",bubble,PASS
Chrome,rendered,"('preventDefault = ', {})",bubble,PASS
Chrome,rendered,"('detached = ', False)",bubble,PASS
Chrome,rendered,"('detachHandler = ', {})",bubble,PASS
Chrome,rendered,"('senderChartType = ', u'bubble')",bubble,PASS
Chrome,rendered,"('dObj1 = ', u'javascript')",bubble,PASS
Chrome,ready,"('eventType = ', u'ready')",bubble,PASS
Chrome,ready,"('eventId = ', 93)",bubble,PASS
Chrome,ready,"('cancelled = ', False)",bubble,PASS
Chrome,ready,"('stopPropagation = ', {})",bubble,PASS
Chrome,ready,"('defaultPrevented = ', False)",bubble,PASS
Chrome,ready,"('preventDefault = ', {})",bubble,PASS
Chrome,ready,"('detached = ', False)",bubble,PASS
Chrome,ready,"('detachHandler = ', {})",bubble,PASS
Chrome,ready,"('senderChartType = ', u'FroalaCharts')",bubble,PASS
Chrome,ready,"('dObj1 = ', True)",bubble,PASS
Chrome,beforeinitialize,"('eventType = ', u'beforeinitialize')",bubble,PASS
Chrome,beforeinitialize,"('eventId = ', 94)",bubble,PASS
Chrome,beforeinitialize,"('cancelled = ', False)",bubble,PASS
Chrome,beforeinitialize,"('stopPropagation = ', {})",bubble,PASS
Chrome,beforeinitialize,"('defaultPrevented = ', False)",bubble,PASS
Chrome,beforeinitialize,"('preventDefault = ', {})",bubble,PASS
Chrome,beforeinitialize,"('detached = ', False)",bubble,PASS
Chrome,beforeinitialize,"('detachHandler = ', {})",bubble,PASS
Chrome,beforeinitialize,"('senderChartType = ', u'bubble')",bubble,PASS
Chrome,beforeinitialize,"('dataFormat = ', u'json')",bubble,PASS
